"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009141","nucleoside triphosphate metabolic process","27/168","362/18670",2.26624696062764e-17,6.7806109061979e-14,5.31255998033448e-14,"ADA/COX5A/UQCRH/BID/NME1/TYMS/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/RAN/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/NME2/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1/DUT",27
"GO:0009144","purine nucleoside triphosphate metabolic process","25/168","342/18670",6.150970693622e-16,9.20185215765852e-13,7.20958512352432e-13,"ADA/COX5A/UQCRH/BID/NME1/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/RAN/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/NME2/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",25
"GO:0009205","purine ribonucleoside triphosphate metabolic process","24/168","335/18670",3.87060590078977e-15,3.4417299167194e-12,2.69657068833876e-12,"COX5A/UQCRH/BID/NME1/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/RAN/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/NME2/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",24
"GO:0009123","nucleoside monophosphate metabolic process","25/168","375/18670",5.20851587041468e-15,3.4417299167194e-12,2.69657068833876e-12,"ADA/COX5A/UQCRH/BID/TYMS/PAICS/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1/DUT",25
"GO:0009199","ribonucleoside triphosphate metabolic process","24/168","341/18670",5.7515540052129e-15,3.4417299167194e-12,2.69657068833876e-12,"COX5A/UQCRH/BID/NME1/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/RAN/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/NME2/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",24
"GO:0009167","purine ribonucleoside monophosphate metabolic process","23/168","340/18670",5.14489321072051e-14,2.34034617782838e-11,1.83364443358563e-11,"ADA/COX5A/UQCRH/BID/PAICS/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",23
"GO:0009126","purine nucleoside monophosphate metabolic process","23/168","341/18670",5.47540883850221e-14,2.34034617782838e-11,1.83364443358563e-11,"ADA/COX5A/UQCRH/BID/PAICS/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",23
"GO:0009161","ribonucleoside monophosphate metabolic process","23/168","354/18670",1.20716954022008e-13,4.51481408042309e-11,3.53732442903962e-11,"ADA/COX5A/UQCRH/BID/PAICS/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",23
"GO:0046034","ATP metabolic process","21/168","305/18670",4.96389687878034e-13,1.65021994014564e-10,1.29293547942033e-10,"COX5A/UQCRH/BID/GAPDH/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/AK2/NDUFC2/PKM/ATP5PF/ATP5F1B/NDUFB4/TPI1/ATP5MC1/NDUFA12/UQCRQ/ENO1/PGAM1",21
"GO:0006119","oxidative phosphorylation","15/168","145/18670",3.78004986040791e-12,1.13099091823405e-09,8.86123267276676e-10,"COX5A/UQCRH/BID/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/NDUFC2/ATP5PF/ATP5F1B/NDUFB4/ATP5MC1/NDUFA12/UQCRQ",15
"GO:0009124","nucleoside monophosphate biosynthetic process","16/168","208/18670",6.56561293449481e-11,1.78584671818259e-08,1.39919808661435e-08,"ADA/TYMS/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/TPI1/ATP5MC1/ENO1/PGAM1/DUT",16
"GO:0009165","nucleotide biosynthetic process","20/168","386/18670",3.10091305247249e-10,7.73160987749809e-08,6.05766084899671e-08,"ADA/NME1/TYMS/PAICS/GAPDH/ATP5MC2/ERH/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1/DUT/RRM2",20
"GO:1901293","nucleoside phosphate biosynthetic process","20/168","390/18670",3.71511619455623e-10,8.55048281085556e-08,6.69924191520382e-08,"ADA/NME1/TYMS/PAICS/GAPDH/ATP5MC2/ERH/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1/DUT/RRM2",20
"GO:0042113","B cell activation","18/168","310/18670",4.11501623267001e-10,8.79437754867763e-08,6.89033169184671e-08,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/BATF/AHR/IGKC/IGHV5-51/TFRC/IGHV3-49/BLNK/HSPD1/POU2F2/BAX/MZB1/MIF/CD79B",18
"GO:0009127","purine nucleoside monophosphate biosynthetic process","14/168","183/18670",1.15542022172448e-09,2.16063581462478e-07,1.69284265380291e-07,"ADA/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/TPI1/ATP5MC1/ENO1/PGAM1",14
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","14/168","183/18670",1.15542022172448e-09,2.16063581462478e-07,1.69284265380291e-07,"ADA/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/TPI1/ATP5MC1/ENO1/PGAM1",14
"GO:0009142","nucleoside triphosphate biosynthetic process","14/168","188/18670",1.64377605760634e-09,2.89304586138716e-07,2.2666806689098e-07,"NME1/TYMS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",14
